time,value
2023-03-12T00:00:00.126Z,59.900001525878906
2023-03-12T00:00:02.226Z,59.900001525878906
2023-03-12T00:00:04.332Z,59.900001525878906
2023-03-12T00:00:06.439Z,59.900001525878906
2023-03-12T00:00:08.549Z,60
2023-03-12T00:00:10.676Z,60
2023-03-12T00:00:12.774Z,60
2023-03-12T00:00:14.876Z,60
2023-03-12T00:00:16.991Z,60
2023-03-12T00:00:19.131Z,60
2023-03-12T00:00:21.196Z,60
2023-03-12T00:00:23.362Z,60
2023-03-12T00:00:25.418Z,60
2023-03-12T00:00:27.521Z,60
2023-03-12T00:00:29.634Z,60
2023-03-12T00:00:31.744Z,60
2023-03-12T00:00:33.874Z,60
2023-03-12T00:00:35.978Z,60
2023-03-12T00:00:38.091Z,60
2023-03-12T00:00:40.187Z,60
2023-03-12T00:00:42.291Z,60
2023-03-12T00:00:44.396Z,60
2023-03-12T00:00:46.514Z,60
2023-03-12T00:00:48.664Z,60
2023-03-12T00:00:50.741Z,60
2023-03-12T00:00:52.836Z,60
2023-03-12T00:00:54.948Z,60
2023-03-12T00:00:57.07Z,60
2023-03-12T00:00:59.188Z,60
2023-03-12T00:01:01.285Z,60
2023-03-12T00:01:03.39Z,60
2023-03-12T00:01:05.504Z,60
2023-03-12T00:01:07.606Z,60
2023-03-12T00:01:09.703Z,60
2023-03-12T00:01:11.823Z,60
2023-03-12T00:01:13.945Z,60
2023-03-12T00:01:16.041Z,60
2023-03-12T00:01:18.149Z,60
2023-03-12T00:01:20.274Z,60
2023-03-12T00:01:22.38Z,60
2023-03-12T00:01:24.477Z,60
2023-03-12T00:01:26.615Z,60
2023-03-12T00:01:28.701Z,60
2023-03-12T00:01:30.832Z,59.900001525878906
2023-03-12T00:01:32.92Z,60
2023-03-12T00:01:35.032Z,60
2023-03-12T00:01:37.139Z,59.900001525878906
2023-03-12T00:01:39.242Z,60
2023-03-12T00:01:41.353Z,60
2023-03-12T00:01:43.47Z,59.900001525878906
2023-03-12T00:01:45.577Z,60
2023-03-12T00:01:47.681Z,60
2023-03-12T00:01:49.799Z,60
2023-03-12T00:01:51.909Z,60
2023-03-12T00:01:54.017Z,60
2023-03-12T00:01:56.121Z,60
2023-03-12T00:01:58.243Z,60
2023-03-12T00:02:00.331Z,60
2023-03-12T00:02:02.457Z,60
2023-03-12T00:02:04.571Z,60
2023-03-12T00:02:06.674Z,60
2023-03-12T00:02:08.768Z,60
2023-03-12T00:02:10.875Z,60
2023-03-12T00:02:13Z,60
2023-03-12T00:02:15.115Z,60
2023-03-12T00:02:17.211Z,60
2023-03-12T00:02:19.324Z,60
2023-03-12T00:02:21.43Z,60
